 strategy_name,interface,num_source_rows,relative_cardinality_between_groupings,elapsed_time,num_output_rows,engine,finished_at,
bi_level_pyspark_df_grp_pandas_numba,pandas,90,1,5.910755,3,pyspark,2024-10-09T07:39:07.697951,
bi_level_pyspark_df_window,fluent,900000,10,4.173808,3,pyspark,2024-10-09T07:39:12.035164,
bi_level_pyspark_rdd_grp_map,rdd,90,1,33.066753,3,pyspark,2024-10-09T07:39:45.252792,
bi_level_pyspark_rdd_reduce_1,rdd,90,1,34.772992,3,pyspark,2024-10-09T07:40:20.180670,
bi_level_pyspark_rdd_map_part,rdd,900000,10,243.665650,3,pyspark,2024-10-09T07:44:24.005009,
bi_level_pyspark_sql_nested,sql,900000,1,2.348656,3,pyspark,2024-10-09T07:44:26.505121,
 strategy_name,interface,num_source_rows,relative_cardinality_between_groupings,elapsed_time,num_output_rows,engine,finished_at,
bi_level_pyspark_rdd_reduce_1,rdd,900000,1000,128.838410,3,pyspark,2024-10-09T17:43:09.482292,
bi_level_pyspark_df_nested,fluent,900000,1000,5.643420,3,pyspark,2024-10-09T17:43:15.289628,
bi_level_pyspark_sql_nested,sql,900000,1000,4.710567,3,pyspark,2024-10-09T17:43:20.164873,
 strategy_name,interface,num_source_rows,relative_cardinality_between_groupings,elapsed_time,num_output_rows,engine,finished_at,
bi_level_pyspark_rdd_reduce_2,rdd,900000,1000,14803.826260,3,pyspark,2024-10-09T22:15:20.330971,
bi_level_pyspark_df_nested,fluent,900000,1000,9.058845,3,pyspark,2024-10-09T22:15:29.708172,
bi_level_pyspark_df_grp_pandas_numba,pandas,900000,1000,12.030150,3,pyspark,2024-10-09T22:15:41.899679,
bi_level_pyspark_df_grp_pandas,pandas,900000,1000,8.375584,3,pyspark,2024-10-09T22:15:50.423721,
bi_level_pyspark_df_window,fluent,900000,1000,6.948028,3,pyspark,2024-10-09T22:15:57.533175,
bi_level_pyspark_rdd_map_part,rdd,900000,1000,14526.193380,3,pyspark,2024-10-10T02:18:03.877981,
bi_level_pyspark_sql_nested,sql,900000,1000,7.908694,3,pyspark,2024-10-10T02:18:11.952033,
bi_level_pyspark_df_join,fluent,900000,1000,10.426441,3,pyspark,2024-10-10T02:18:22.527369,
bi_level_pyspark_rdd_reduce_1,rdd,900000,1000,131.542154,3,pyspark,2024-10-10T02:20:34.226709,
bi_level_pyspark_sql_join,sql,900000,1000,14.421589,3,pyspark,2024-10-10T02:20:48.814390,
 elapsed_time,engine,finished_at,interface,language,num_output_rows,num_source_rows,relative_cardinality_between_groupings,strategy_name,
252.12457704544067,pyspark,2024-10-13T17:02:06.346210,rdd,python,3,900000,10,bi_level_pyspark_rdd_reduce_2,
9.754655122756958,pyspark,2024-10-13T17:02:16.253926,sql,python,3,900000,1000,bi_level_pyspark_sql_join,
4.168176889419556,pyspark,2024-10-13T17:02:20.570967,fluent,python,3,900000,10,bi_level_pyspark_df_window,
15146.81960773468,pyspark,2024-10-13T21:15:23.174293,rdd,python,3,900000,1000,bi_level_pyspark_rdd_map_part,
18.31771469116211,pyspark,2024-10-13T21:15:42.066763,pandas,python,3,900000,1000,bi_level_pyspark_df_grp_pandas,
174.35792136192322,pyspark,2024-10-13T21:18:36.626108,rdd,python,3,900000,10,bi_level_pyspark_rdd_reduce_1,
9.676954984664917,pyspark,2024-10-13T21:18:46.490673,sql,python,3,900000,10,bi_level_pyspark_sql_join,
3.951969623565674,pyspark,2024-10-13T21:18:50.626307,fluent,python,3,900000,10,bi_level_pyspark_df_nested,
9.326689720153809,pyspark,2024-10-13T21:19:00.150196,fluent,python,3,900000,10,bi_level_pyspark_df_join,
5.328997850418091,pyspark,2024-10-13T21:19:05.663067,sql,python,3,900000,100,bi_level_pyspark_sql_nested,
17.956788063049316,pyspark,2024-10-13T21:19:23.794733,fluent,python,3,900000,1000,bi_level_pyspark_df_nested,
